Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_47 MA_77,-0.3517142639366515,1.7069160255841638,0.010734390187306838,70.0,3162.0,4936.0,0.0
MA_47 MA_78,-0.35171426393665056,1.576714539346591,0.010734390187306847,68.0,3166.0,4936.0,0.0
MA_47 MA_79,-0.331159074875492,1.889121043451878,0.010737149477693735,66.0,3168.0,4936.0,0.0
MA_47 MA_80,-0.3182334811913517,1.7830012915078428,0.010738290272152826,66.0,3169.0,4936.0,0.0
MA_47 MA_81,-0.34890113290109487,1.5199215578316232,0.01073879959001112,68.0,3173.0,4936.0,0.0
MA_47 MA_82,-0.3806254671767777,1.4510373552684324,0.010741434248559117,68.0,3173.0,4936.0,0.0
MA_47 MA_83,-0.40624618506200366,1.1359413687027398,0.010745049384388626,68.0,3176.0,4936.0,0.0
MA_47 MA_84,-0.4062461850620046,1.3514212695804582,0.01074504938438862,64.0,3174.0,4936.0,0.0
MA_47 MA_85,-0.3480917027527158,1.496912163962786,0.010711972651120482,64.0,3169.0,4936.0,0.0
MA_47 MA_86,-0.319036754274147,1.3090129832614092,0.010717277145561633,62.0,3166.0,4936.0,0.0
MA_47 MA_87,-0.40962576196566236,1.3083413356882398,0.010688206895096813,64.0,3155.0,4936.0,0.0
MA_47 MA_88,-0.48380592411331946,1.104586774379094,0.010721983471367737,64.0,3154.0,4936.0,0.0
